,PRECIO_UNITARIO,COSTO_UNITARIO,COSTO_UNITARIO_CALCULADO,MARGEN_TOTAL_CALCULADO
1073,1615.0,685.68,685.68,929.32
1074,1615.0,685.68,685.68,929.32
1075,485.0,144.4,144.4,681.2
1076,7780.0,816.73,1743.86,53994.03
1077,7780.0,930.34,2064.16,50832.18
1078,125.0,48.2,48.2,307.21
1079,132.06,0.0,21.33,885.86
1080,1853.25,1116.84,1116.84,1472.83
1081,852.53,0.0,55.13,1594.8
1082,1790.5,155.35,155.35,3270.3
1083,1900.0,253.99,253.99,3292.03
1084,1280.14,0.0,477.16,802.98
1085,978.6,0.0,518.59,4600.13
1086,732.0,0.0,136.25,2978.75
1087,1800.0,0.0,312.11,4463.67
1088,1086.23,0.0,274.93,2433.91
1089,699.38,0.0,207.16,1476.66
1090,3220.0,667.91,667.91,25520.89
1091,5790.0,0.0,1798.56,15965.75
1092,315.0,57.6,57.6,1029.6
1093,1475.3,288.77,288.77,35595.93
1094,582.13,0.0,131.24,1803.56
1095,773.06,0.0,126.1,1293.91
1096,6.54,6.0,6.0,5.35
1097,299.8,50.94,50.94,1742.04
1098,1102.75,0.0,751.86,10526.78
1099,155.0,62.95,62.95,276.14
1100,1330.35,0.0,326.25,2008.21
1101,17393.06,0.0,6073.5,22639.13
1102,825.0,332.9,332.9,4920.99
1103,1283.8,0.0,131.36,1152.44
1104,18869.0,0.0,1721.28,68590.88
1105,581.46,0.0,144.87,873.19
1106,555.06,0.0,96.17,917.78
1107,3545.43,800.35,800.35,21960.61
1108,1370.74,0.0,328.39,1042.35
1109,1018.0,0.0,273.77,744.23
1110,817.79,0.0,133.04,1369.5
1111,530.64,0.0,325.23,821.62
1112,732.0,222.0,222.0,510.0
1113,210.0,90.91,90.91,119.09
1114,305.5,113.59,113.59,191.91
1115,485.0,144.4,144.4,1362.4
1116,965.4,0.0,413.55,551.85
1117,606.0,236.6,236.6,1847.01
1118,398.0,0.0,113.64,2843.63
1119,1157.93,0.0,187.54,970.39
1120,4500.0,0.0,1088.23,3411.77
1121,699.52,0.0,66.79,1265.45
1122,462.0,220.0,220.0,242.0
1123,299.8,0.0,59.54,720.77
1124,155.0,62.95,62.95,184.09
1125,2533.27,0.0,0.0,2533.27
1126,2359.7,338.22,338.22,8085.91
1127,772.6,0.0,49.16,723.44
1128,462.07,220.0,220.0,968.28
1129,1194.66,0.0,0.0,3583.98
1130,932.0,0.0,207.69,1448.62
1131,730.8,0.0,126.52,1208.56
1132,1911.0,0.0,329.0,1582.0
1133,1572.45,600.03,600.03,2917.26
1134,485.0,0.0,144.4,3406.0
1135,1127.46,0.0,355.3,4632.94
1136,1800.0,2392.5,2392.5,-592.5
1137,1130.5,421.11,421.11,709.39
1138,675.97,89.76,89.76,586.21
1139,730.17,72.34,72.34,657.83
1140,1677.0,0.0,521.39,11556.1
1141,2445.0,0.0,1627.09,4089.55
1142,698.0,0.0,0.0,2792.0
1143,1475.3,0.0,315.51,23195.8
1144,3053.25,640.51,640.51,7238.23
1145,899.0,0.0,197.53,701.47
1146,619.5,0.0,76.71,3256.75
1147,699.5,0.0,70.7,628.8
1148,650.0,316.45,316.45,333.55
1149,413.4,0.0,93.3,1920.59
1150,415.0,0.0,100.7,3142.99
1151,407.0,124.77,124.77,2822.33
1152,541.25,0.0,132.16,4090.88
1153,708.0,0.0,138.9,3983.69
1154,488.0,0.0,119.27,3687.26
1155,1615.25,0.0,52.12,15631.29
1156,2056.2,586.32,586.32,4409.63
1157,662.57,0.0,47.84,614.73
1158,815.07,0.0,99.37,715.7
1159,876.98,0.0,142.2,734.78
1160,588.0,0.0,39.85,548.15
1161,792.11,131.45,131.45,6606.56
1162,798.79,137.63,137.63,6611.64
1163,984.15,203.69,203.69,780.46
1164,699.47,126.29,126.29,573.18
1165,705.5,127.62,127.62,1733.63
1166,2895.47,1119.39,1119.39,10656.45
1167,670.69,331.33,331.33,339.36
1168,1466.21,379.55,379.55,1086.66
1169,1026.8,82.34,82.34,5666.78
1170,1165.0,245.96,245.96,5514.25
1171,485.0,67.84,67.84,417.16
1172,5765.49,2496.65,2496.65,6537.68
1173,3890.0,982.4,982.4,31983.55
1174,720.0,130.12,130.12,2949.42
1175,195.0,78.68,78.68,697.95
1176,1018.0,414.84,414.84,603.16
1177,1018.0,414.84,414.84,1206.33
1178,906.05,117.24,117.24,788.81
1179,609.84,173.0,173.0,436.84
1180,813.1,222.0,222.0,591.1
1181,353.45,57.6,57.6,295.85
1182,925.0,218.33,218.33,1413.34
1183,805.5,57.07,57.07,748.43
1184,553.0,0.0,96.96,3648.3
1185,840.0,0.0,160.02,3399.89
1186,4769.0,1931.62,1931.62,5674.77
1187,565.4,90.42,90.42,1424.95
1188,1219.74,251.37,251.37,11620.48
1189,1022.67,213.77,213.77,4853.43
1190,1386.16,291.33,291.33,10948.33
